network_root,count
CTV,20
CBC,16
Global,11
PBS,9
ICI,8
ABC,7
CBS,7
FOX,7
NBC,7
CTV Comedy,4
A&E,3
AMC,3
CMT,3
Cinemax,3
FXX,3
ION,3
National Geographic,3
Oxygen True Crime,3
Smithsonian Channel,3
TLC,3
Univision,3
Adult Swim,2
American Heroes Channel,2
BBC News,2
Boomerang,2
Bravo,2
CBC News Network,2
CHCH Hamilton,2
CITY Montreal,2
CITY Toronto,2
CITY Vancouver,2
CNBC,2
CNN,2
CP24,2
CTV Drama,2
CTV Life,2
CTV Montreal,2
CTV Nature,2
CTV News Channel,2
CTV Ottawa,2
CTV Sci-Fi,2
CTV Vancouver,2
CTV Wild,2
CTV2 Atlantic Region,2
Cartoon Network,2
Cottage Life,2
Crave1,2
Crave2,2
Crave3,2
Crave4,2
Crime & Investigation Network,2
Crime + Investigation,2
Disney,2
Documentary Channel,2
E!,2
FX Networks,2
Flavour Network,2
Global BC,2
HBO,2
HBO1,2
HLN,2
History 2,2
KTLA Los Angeles,2
Lifetime TV,2
MS NOW,2
MTV,2
MTV 2,2
MTV Live,2
Much Music,2
NYC Life,2
National Geographic Wild,2
OMNI.1,2
OMNI.2,2
OUTtv,2
Peachtree TV,2
STARZ1,2
STARZ2,2
Showcase,2
Slice,2
Starz,2
Starz Encore,2
Super Channel Fuse,2
Super Channel Heart & Home,2
Super Channel Quest,2
Super Channel Vault,2
TMC,2
TSC,2
TVO,2
USA Network,2
W,2
WGN,2
WLNY TV10/55,2
WPIX New York,2
WSBK,2
AMC+,1
APTN,1
Animal Planet,1
Antenna,1
BBC America,1
BBC Earth,1
BBC First,1
BET,1
BET Her,1
BNN Bloomberg,1
Buzzr TV,1
CHEK Vancouver Island,1
CJON,1
CNBC World,1
CNN International North America,1
CTV Speed,1
CTV2,1
"CTV2 Barrie, ON",1
CTV2 Vancouver Island. BC,1
CTV2 Windsor,1
CW,1
Cinemax Action,1
Cinemax Classics,1
Cinemax Hits Eastern,1
Cinemax on Demand,1
Cinépop,1
Circle,1
Comedy Central,1
Comedy.TV,1
Cozi,1
Create,1
DTOUR,1
Deja View,1
Discovery Channel,1
Discovery Family Channel,1
Discovery Life Channel,1
Disney Channel Canada HD,1
Disney XD,1
E! Entertainment,1
ESPN,1
ESPN2,1
EWTN,1
Estrella,1
Explora,1
FUSE TV,1
FX Movie Channel,1
FX Networks East Coast,1
FYI,1
Family Channel,1
Family Channel on Demand,1
Food Network,1
Fox Business,1
Fox News,1
Freeform,1
Game Show Network,1
GetTV,1
HBO 2,1
HBO Canada 2,1
HBO Comedy,1
HBO Comedy HD,1
HBO Drama,1
HBO Family,1
HBO Hits,1
HBO Movies,1
HBO On Demand,1
HBO Zone HD,1
HGTV,1
History Canada East,1
History Canada HD East,1
History Channel,1
History Channel Espanol,1
Hollywood Suite 2000s,1
Hollywood Suite 2010s+,1
Hollywood Suite 70s+,1
Hollywood Suite 80s & 90s,1
Hollywood Suite On Demand,1
Home Network,1
Investigation,1
Investigation Discovery,1
LOGO,1
Lifetime Movies,1
Lifetime Network,1
Lifetime Real Women East,1
Localish,1
MAX,1
MBC Drama,1
MGM HD,1
MGM+,1
MGM+ Drive-In,1
MGM+ Hits- East,1
MGM+ Marquee,1
MGM+ On Demand,1
MNT,1
MOVIEplex,1
MSG,1
MSG Plus,1
MTV Classic,1
MTV Tr3s,1
Magnolia,1
MeTV,1
Military History,1
MovieTime,1
Movies!,1
Music On Demand,1
NBC Universo,1
NFL RedZone,1
NHK World,1
NJ PBS,1
NY1 New York,1
NYC Gov,1
Natyf TV,1
Nickelodeon,1
OMNI Vancouver,1
OMNI.1 Television,1
ONE TV,1
Oprah Winfrey Network,1
Oprah Winfrey Network USA Eastern,1
OuterMax,1
PBS Kids,1
PBS World,1
Paramount Network,1
Paramount+ with Showtime,1
Primetime OnDemand,1
SHOXBET,1
SNY: SportsNet New York,1
Science,1
ShopHQ,1
Showtime 2,1
Showtime Extreme,1
Showtime Next,1
Showtime Next HD,1
Showtime Showcase,1
Showtime Showcase HD,1
Start TV,1
Starz Cinema,1
Starz Cinema HD,1
Starz Comedy,1
Starz Comedy HD,1
Starz Edge,1
Starz Encore Action,1
Starz Encore Family,1
Starz Encore Suspense,1
Starz In Black,1
Starz Kids & Family,1
Starz1 onDemand,1
SundanceTV,1
Super Channel on Demand,1
Syfy,1
TBD,1
TBN,1
TBS,1
TMC Xtra,1
TMC Xtra HD,1
TMC on Demand,1
TNT,1
TV Land,1
TeleXitos,1
Telemundo,1
The Cooking Channel,1
ThrillerMax,1
Treehouse,1
Treehouse On Demand,1
Turner Classic Movies,1
Twist,1
UNI,1
UniMás,1
VH1,1
VICE,1
WMBC-Newton,1
truTV,1
