parent_token,count
CTV,43
CBC,18
HBO,12
PBS,11
ICI,8
MTV,8
NBC,8
ABC,7
CBS,7
FOX,7
CITY,6
CTV2,6
BBC,5
MGM+,5
TMC,5
FX,4
A&E,3
AMC,3
CMT,3
CNBC,3
CNN,3
FXX,3
ION,3
NYC,3
OMNI.1,3
TLC,3
BET,2
CHCH,2
CP24,2
HBO1,2
HLN,2
KTLA,2
MS,2
MSG,2
OMNI.2,2
STARZ1,2
STARZ2,2
TSC,2
TVO,2
USA,2
WGN,2
WLNY,2
WPIX,2
WSBK,2
AMC+,1
APTN,1
BNN,1
CHEK,1
CJON,1
CW,1
DTOUR,1
ESPN,1
ESPN2,1
EWTN,1
FUSE,1
FYI,1
HGTV,1
LOGO,1
MAX,1
MBC,1
MGM,1
MNT,1
NFL,1
NHK,1
NJ,1
NY1,1
OMNI,1
ONE,1
TBD,1
TBN,1
TBS,1
TNT,1
TV,1
UNI,1
VH1,1
VICE,1
