variant_name,canonical_name,type,country,feed,notes
A&E America- East,A&E America,specialty,,East,
A&E America- West,A&E America,specialty,,West,
A&E Canada,A&E Canada,specialty,,,
ABC (local affiliates),ABC (local affiliates),specialty,,,
addikTV,addikTV,specialty,,,
Adult Swim America- East,Adult Swim America,specialty,,East,
Adult Swim America- West,Adult Swim America,specialty,,West,
Adult Swim Canada- East,Adult Swim Canada,specialty,,East,
Adult Swim Canada- West,Adult Swim Canada,specialty,,West,
AMC America- East,AMC America,specialty,,East,
AMC America- West,AMC America,specialty,,West,
AMC Canada- East,AMC Canada,specialty,,East,
AMC Canada- West,AMC Canada,specialty,,West,
Animal Planet America- East,Animal Planet America,specialty,,East,
Animal Planet America- West,Animal Planet America,specialty,,West,
BBC America- East,BBC America,specialty,,East,
BBC America- West,BBC America,specialty,,West,
BBC Canada- East,BBC Canada,specialty,,East,
BBC Canada- West,BBC Canada,specialty,,West,
BET America- East,BET America,specialty,,East,
BET America- West,BET America,specialty,,West,
Big Ten Network,Big Ten Network,specialty,,,
Bravo America- East,Bravo America,specialty,,East,
Bravo America- West,Bravo America,specialty,,West,
Bravo Canada- East,Bravo Canada,specialty,,East,
Bravo Canada- West,Bravo Canada,specialty,,West,
Cartoon Network America- East,Cartoon Network America,specialty,,East,
Cartoon Network America- West,Cartoon Network America,specialty,,West,
Cartoon Network Canada- East,Cartoon Network Canada,specialty,,East,
Cartoon Network Canada- West,Cartoon Network Canada,specialty,,West,
CASA,CASA,specialty,,,
CBC (loal stations),CBC (loal stations),specialty,,,
CBC News Network,CBC News Network,specialty,,,
CBC Television (local stations),CBC Television (local stations),specialty,,,
CBS (local affiliates),CBS (local affiliates),specialty,,,
Cinemax America- East,Cinemax America,specialty,,East,
Cinemax America- West,Cinemax America,specialty,,West,
Citytv (local stations),Citytv (local stations),specialty,,,
CMT America- East,CMT America,specialty,,East,
CMT America- West,CMT America,specialty,,West,
CNBC America,CNBC America,specialty,,,
CNN America,CNN America,specialty,,,
Comedy Central America- East,Comedy Central America,specialty,,East,
Comedy Central America- West,Comedy Central America,specialty,,West,
Comedy Central Canada- East,Comedy Central Canada,specialty,,East,
Comedy Central Canada- West,Comedy Central Canada,specialty,,West,
Crave1- East,Crave1,specialty,,East,
Crave1- West,Crave1,specialty,,West,
Crave2- East,Crave2,specialty,,East,
Crave2- West,Crave2,specialty,,West,
Crave3- East,Crave3,specialty,,East,
Crave3- West,Crave3,specialty,,West,
Crave4- East,Crave4,specialty,,East,
Crave4- West,Crave4,specialty,,West,
CTV (local stations),CTV (local stations),specialty,,,
CTV 2 (local stations),CTV 2 (local stations),specialty,,,
CTV Comedy- East,CTV Comedy,specialty,,East,
CTV Comedy- West,CTV Comedy,specialty,,West,
CTV Drama- East,CTV Drama,specialty,,East,
CTV Drama- West,CTV Drama,specialty,,West,
CTV Life- East,CTV Life,specialty,,East,
CTV Life- West,CTV Life,specialty,,West,
CTV Sci-Fi- East,CTV Sci-Fi,specialty,,East,
CTV Sci-Fi- West,CTV Sci-Fi,specialty,,West,
DejaView Canada,DejaView Canada,specialty,,,
Discovery Canada- East,Discovery Canada,specialty,,East,
Discovery Canada- West,Discovery Canada,specialty,,West,
Discovery Channel America- East,Discovery Channel America,specialty,,East,
Discovery Channel America- West,Discovery Channel America,specialty,,West,
Disney Channel America- East,Disney Channel America,specialty,,East,
Disney Channel America- West,Disney Channel America,specialty,,West,
Disney Channel Canada- East,Disney Channel Canada,specialty,,East,
Disney Channel Canada- West,Disney Channel Canada,specialty,,West,
Disney Junior America- East,Disney Junior America,specialty,,East,
Disney Junior America- West,Disney Junior America,specialty,,West,
Disney Junior Canada- East,Disney Junior Canada,specialty,,East,
Disney Junior Canada- West,Disney Junior Canada,specialty,,West,
Disney XD America- East,Disney XD America,specialty,,East,
Disney XD America- West,Disney XD America,specialty,,West,
Disney XD Canada- East,Disney XD Canada,specialty,,East,
Disney XD Canada- West,Disney XD Canada,specialty,,West,
E! America- East,E! America,specialty,,East,
E! America- West,E! America,specialty,,West,
E! Canada- East,E! Canada,specialty,,East,
E! Canada- West,E! Canada,specialty,,West,
ESPN America,ESPN America,specialty,,,
Évasion,Évasion,specialty,,,
Flavour Network Canada- East,Flavour Network Canada,specialty,,East,
Flavour Network Canada- West,Flavour Network Canada,specialty,,West,
Food Network America- East,Food Network America,specialty,,East,
Food Network America- West,Food Network America,specialty,,West,
Food Network Canada- East,Food Network Canada,specialty,,East,
Food Network Canada- West,Food Network Canada,specialty,,West,
Fox (local affiliates),Fox (local affiliates),specialty,,,
Fox Business,Fox Business,specialty,,,
Fox News,Fox News,specialty,,,
Freeform America- East,Freeform America,specialty,,East,
Freeform America- West,Freeform America,specialty,,West,
FS1,FS1,specialty,,,
FS2,FS2,specialty,,,
FX Canada- East,FX Canada,specialty,,East,
FX Canada- West,FX Canada,specialty,,West,
FX- East,FX,specialty,,East,
FX- West,FX,specialty,,West,
FXX America- East,FXX America,specialty,,East,
FXX America- West,FXX America,specialty,,West,
FXX Canada- East,FXX Canada,specialty,,East,
FXX Canada- West,FXX Canada,specialty,,West,
Global (local stations),Global (local stations),specialty,,,
Golf Channel America,Golf Channel America,specialty,,,
HBO America- East,HBO America,specialty,,East,
HBO America- West,HBO America,specialty,,West,
HBO Canada- East,HBO Canada,specialty,,East,
HBO Canada- West,HBO Canada,specialty,,West,
HGTV America- East,HGTV America,specialty,,East,
HGTV America- West,HGTV America,specialty,,West,
HGTV Canada- East,HGTV Canada,specialty,,East,
HGTV Canada- West,HGTV Canada,specialty,,West,
History America- East,History America,specialty,,East,
History America- West,History America,specialty,,West,
History Canada- East,History Canada,specialty,,East,
History Canada- West,History Canada,specialty,,West,
Home Network Canada,Home Network Canada,specialty,,,
Ici ARTV,Ici ARTV,specialty,,,
Ici Explora,Ici Explora,specialty,,,
Ici Radio-Canada TÃ©lÃ© (local station,Ici Radio-Canada TÃ©lÃ© (local station,specialty,,,
Ici RDI,Ici RDI,specialty,,,
Investigation Discovery America- East,Investigation Discovery America,specialty,,East,
Investigation Discovery America- West,Investigation Discovery America,specialty,,West,
ION- East,ION,specialty,,East,
ION- West,ION,specialty,,West,
LCN,LCN,specialty,,,
Lifetime America- East,Lifetime America,specialty,,East,
Lifetime America- West,Lifetime America,specialty,,West,
Logo America- East,Logo America,specialty,,East,
Logo America- West,Logo America,specialty,,West,
Magnolia Network America- East,Magnolia Network America,specialty,,East,
Magnolia Network America- West,Magnolia Network America,specialty,,West,
Magnolia Network Canada- East,Magnolia Network Canada,specialty,,East,
Magnolia Network Canada- West,Magnolia Network Canada,specialty,,West,
Max- East,Max,specialty,,East,
Max- West,Max,specialty,,West,
MGM- East,MGM,specialty,,East,
MGM- West,MGM,specialty,,West,
MSNBC America,MSNBC America,specialty,,,
MTV America- East,MTV America,specialty,,East,
MTV America- West,MTV America,specialty,,West,
MTV Canada- East,MTV Canada,specialty,,East,
MTV Canada- West,MTV Canada,specialty,,West,
Much Canada- East,Much Canada,specialty,,East,
Much Canada- West,Much Canada,specialty,,West,
Nat Geo Wild America,Nat Geo Wild America,specialty,,,
National Geographic America- East,National Geographic America,specialty,,East,
National Geographic America- West,National Geographic America,specialty,,West,
National Geographic Canada,National Geographic Canada,specialty,,,
NBC (local affiliates),NBC (local affiliates),specialty,,,
Nickelodeon America- East,Nickelodeon America,specialty,,East,
Nickelodeon America- West,Nickelodeon America,specialty,,West,
Nickelodeon Canada- East,Nickelodeon Canada,specialty,,East,
Nickelodeon Canada- West,Nickelodeon Canada,specialty,,West,
Noovo (local stations),Noovo (local stations),specialty,,,
OMNI,OMNI,specialty,,,
Oxygen America- East,Oxygen America,specialty,,East,
Oxygen America- West,Oxygen America,specialty,,West,
Oxygen True Crime Canada- East,Oxygen True Crime Canada,specialty,,East,
Oxygen True Crime Canada- West,Oxygen True Crime Canada,specialty,,West,
Oxygen. Canada,Oxygen. Canada,specialty,,,
Paramount Network America- East,Paramount Network America,specialty,,East,
Paramount Network America- West,Paramount Network America,specialty,,West,
PBS (member stations),PBS (member stations),specialty,,,
Peachtree,Peachtree,specialty,,,
Peacock,Peacock,specialty,,,
Prise 2,Prise 2,specialty,,,
QUB,QUB,specialty,,,
RDS Canada,RDS Canada,specialty,,,
Showcase Canada- East,Showcase Canada,specialty,,East,
Showcase Canada- West,Showcase Canada,specialty,,West,
Showtime America- East,Showtime America,specialty,,East,
Showtime America- West,Showtime America,specialty,,West,
Showtime Canada,Showtime Canada,specialty,,,
Slice America,Slice America,specialty,,,
Slice Canada,Slice Canada,specialty,,,
Smithsonian Channel America,Smithsonian Channel America,specialty,,,
Sportsnet (channels),Sportsnet (channels),specialty,,,
Sportsnet channels,Sportsnet channels,specialty,,,
Sportsnet One/360/World,Sportsnet One/360/World,specialty,,,
STARZ America- East,STARZ America,specialty,,East,
STARZ America- West,STARZ America,specialty,,West,
SYFY- East,SYFY,specialty,,East,
SYFY- West,SYFY,specialty,,West,
TBS America- East,TBS America,specialty,,East,
TBS America- West,TBS America,specialty,,West,
TCM America,TCM America,specialty,,,
Telemundo,Telemundo,specialty,,,
TÃ‰MOI,TÃ‰MOI,specialty,,,
TLC America- East,TLC America,specialty,,East,
TLC America- West,TLC America,specialty,,West,
TNT America- East,TNT America,specialty,,East,
TNT America- West,TNT America,specialty,,West,
Treehouse Canada,Treehouse Canada,specialty,,,
True Crime Canada- East,True Crime Canada,specialty,,East,
True Crime Canada- West,True Crime Canada,specialty,,West,
TruTV- East,TruTV,specialty,,East,
TruTV- West,TruTV,specialty,,West,
TSN,TSN,specialty,,,
Tubi America,Tubi America,specialty,,,
TV Land America- East,TV Land America,specialty,,East,
TV Land America- West,TV Land America,specialty,,West,
TVA (local stations),TVA (local stations),specialty,,,
TVA Sports,TVA Sports,specialty,,,
Universal Kids America,Universal Kids America,specialty,,,
USA Network America- East,USA Network America,specialty,,East,
USA Network America- West,USA Network America,specialty,,West,
USA Network Canada- East,USA Network Canada,specialty,,East,
USA Network Canada- West,USA Network Canada,specialty,,West,
VH1 America- East,VH1 America,specialty,,East,
VH1 America- West,VH1 America,specialty,,West,
VH1 Canada- East,VH1 Canada,specialty,,East,
VH1 Canada- West,VH1 Canada,specialty,,West,
VICE America,VICE America,specialty,,,
VICE Canada,VICE Canada,specialty,,,
W Network Canada- East,W Network Canada,specialty,,East,
W Network Canada- West,W Network Canada,specialty,,West,
YTV Canada,YTV Canada,specialty,,,
Zeste,Zeste,specialty,,,
